course_id,course_name,description,credit,department
DAI3005,음성인식,"음성 신호 처리와 인공지능 기반 음성 인식 기술을 학습하며 AI 연구자와 자연어 처리 분야 진로에 도움이 되는 과목이다.",3,인공지능학과 / 컴퓨터공학부
SCS4002,가상및증강현실프로그래밍,"가상현실과 증강현실 환경에서 상호작용 프로그램을 개발하며 소프트웨어 개발과 미디어테크놀로지 역량을 기르는 과목이다.",3,인공지능학과 / 컴퓨터공학부
COM2005,운영체제론,"프로세스와 메모리 관리 파일 시스템 동시성 등 운영체제 핵심 개념을 학습하며 백엔드와 시스템 개발의 기반을 다지는 과목이다.",4,컴퓨터공학부 / 인공지능학과
CSE3027,컴퓨터네트워크,"인터넷 구조와 네트워크 프로토콜 데이터 통신 원리를 학습하며 백엔드 개발과 클라우드 시스템 이해에 필요한 과목이다.",3,컴퓨터공학부
CSE3038,SW창업캡스톤디자인2,"소프트웨어 기반 창업 아이디어를 프로젝트로 구현하며 서비스 기획 개발 협업 경험을 쌓는 캡스톤 과목이다.",3,컴퓨터공학부
DAI4002,자연어처리,"텍스트 데이터 처리 언어모델 정보검색 문서 분석을 학습하며 AI 연구자와 데이터 분석가 진로에 적합한 과목이다.",3,컴퓨터공학부
ENE1004,컴퓨터구조,"컴퓨터 하드웨어 구조 명령어 처리 메모리 계층을 학습하며 시스템 소프트웨어와 백엔드 개발의 기초를 제공하는 과목이다.",3,컴퓨터공학부 / 인공지능학과
ENE4014,프로그래밍언어론,"프로그래밍 언어의 구조와 실행 원리를 학습하며 소프트웨어 개발자가 언어와 컴파일 개념을 이해하는 데 도움이 되는 과목이다.",3,컴퓨터공학부
ITE4052,컴퓨터비전,"이미지와 영상 데이터를 처리하고 시각 인식 모델을 학습하며 AI 연구자와 컴퓨터비전 분야 진로에 적합한 과목이다.",3,컴퓨터공학부
SCS3001,고급데이터베이스,"데이터베이스 설계와 고급 SQL 트랜잭션 인덱스 최적화 개념을 학습하며 백엔드와 데이터 분석 진로에 중요한 과목이다.",4,컴퓨터공학부
VCC4002,취업진로세미나,"전공 분야 취업과 진로 탐색을 위한 세미나 과목으로 직무 이해와 커리어 계획 수립에 도움을 주는 과목이다.",1,공통
VCC2001,IC-PBL과취창업을위한진로탐색,"프로젝트 기반 학습으로 취업과 창업 진로를 탐색하며 전공 역량과 진로 목표를 연결하는 과목이다.",1,공통
CSE1017,프로그래밍기초,"프로그래밍 기본 문법 문제 해결 절차 코드 작성 방법을 학습하며 소프트웨어 개발과 AI 학습의 기초를 만드는 과목이다.",3,인공지능학과 / ICT융합학부
CSE3003,디지털논리설계,"논리회로와 디지털 시스템 설계를 학습하며 컴퓨터 구조와 임베디드 시스템 이해에 필요한 기초를 제공하는 과목이다.",3,컴퓨터공학부
CUL7133,파이썬과인공지능,"Python 프로그래밍과 인공지능 기초를 함께 학습하며 AI 연구자와 데이터 분석가를 위한 입문 역량을 기르는 과목이다.",3,인공지능학과 / 수리데이터사이언스학과 / ICT융합학부
DEE4046,학술영어,"전공 분야 학술 자료를 영어로 읽고 쓰는 역량을 기르며 연구 보고서와 발표 준비에 도움이 되는 과목이다.",2,공통
CSE2010,자료구조론,"리스트 스택 큐 트리 그래프 해시 등 자료구조와 알고리즘 기초를 학습하며 소프트웨어 개발의 핵심 기반을 다지는 과목이다.",3,컴퓨터공학부
CSE4061,소프트웨어융합캡스톤2,"융합 소프트웨어 프로젝트를 기획하고 구현하며 서비스 개발과 협업 능력을 종합적으로 수행하는 캡스톤 과목이다.",3,인공지능학과
CSE1007,논리학(컴퓨터전공),"컴퓨터 전공에 필요한 논리적 사고 명제 추론 기초를 학습하며 프로그래밍과 알고리즘 학습의 기반을 제공하는 과목이다.",3,ICT융합학부
GEN0063,일반물리학1,"물리학의 기본 법칙과 수리적 사고를 학습하며 공학과 데이터 과학의 기초 소양을 다지는 과목이다.",3,공통
CSE4048,딥러닝,"신경망과 딥러닝 모델의 구조와 학습 방법을 학습하며 AI 연구자와 데이터 분석가에게 필요한 모델링 역량을 기르는 과목이다.",3,인공지능학과
DAI3001,인공지능연구실심화실습1,"인공지능 연구실 기반 심화 실습을 통해 연구 주제 탐색과 실험 수행 경험을 쌓는 과목이다.",1,인공지능학과
DAI3004,시각지능학습,"이미지와 영상 데이터를 기반으로 시각 인공지능 모델을 학습하며 컴퓨터비전과 AI 연구 역량을 기르는 과목이다.",3,인공지능학과
DAI3006,AI창업캡스톤디자인2,"AI 기술을 활용한 창업형 프로젝트를 수행하며 인공지능 서비스 기획과 구현 경험을 쌓는 캡스톤 과목이다.",3,인공지능학과
DAI4003,인공지능연구실심화실습3,"인공지능 연구실 기반 심화 실습을 통해 고급 연구 주제와 실험 결과 분석을 수행하는 과목이다.",1,인공지능학과
SCS4001,데이터사이언스,"데이터 수집 분석 모델링 시각화의 흐름을 학습하며 데이터 분석가와 AI 서비스 개발 진로에 적합한 과목이다.",3,인공지능학과
DAI1002,인공지능코딩,"인공지능 학습에 필요한 코딩 기초와 문제 해결 방법을 익히며 AI 개발 입문 역량을 기르는 과목이다.",3,인공지능학과
DAI2001,텐서프로그래밍,"텐서 연산과 딥러닝 프레임워크 기반 프로그래밍을 학습하며 AI 모델 구현 역량을 기르는 과목이다.",3,인공지능학과
DAI2002,인공지능수학,"선형대수 확률 최적화 등 인공지능 모델 이해에 필요한 수학적 기초를 학습하는 과목이다.",3,인공지능학과
DAI2003,글로벌SW창업디자인1,"소프트웨어 창업 아이디어를 글로벌 관점에서 기획하고 설계하며 서비스 개발 기초를 경험하는 과목이다.",1,인공지능학과
DAI2006,자료구조와알고리즘,"자료구조와 알고리즘을 학습하며 AI 모델 구현과 소프트웨어 개발에 필요한 문제 해결 능력을 기르는 과목이다.",3,인공지능학과
MAT3030,일반위상수학,"공간과 연속성에 대한 수학적 구조를 학습하며 고급 수리 데이터 과학과 이론 연구의 기반을 제공하는 과목이다.",3,수리데이터사이언스학과
MAT3034,과학계산입문,"수치 계산과 과학적 문제 해결 방법을 학습하며 데이터 과학과 수리 모델링에 필요한 계산 역량을 기르는 과목이다.",3,수리데이터사이언스학과
MAT3070,빅데이터분석,"대용량 데이터를 수집 처리 분석하는 방법을 학습하며 데이터 분석가와 AI 관련 진로에 필요한 데이터 해석 역량을 기르는 과목이다.",3,수리데이터사이언스학과
MAT3073,인턴십프로그램1,"전공 지식을 현장 실무와 연결하는 인턴십 과목으로 데이터 과학 관련 직무 경험을 쌓는 데 도움이 되는 과목이다.",3,수리데이터사이언스학과
MAT4088,머신러닝,"지도학습과 비지도학습 등 머신러닝 모델의 원리와 활용을 학습하며 AI 연구자와 데이터 분석가에게 필요한 예측 모델링 역량을 기르는 과목이다.",3,수리데이터사이언스학과
MAT4094,수리데이터사이언스연구실심화실습1,"수리데이터사이언스 연구실 기반 심화 실습을 통해 데이터 분석 연구와 실험 경험을 쌓는 과목이다.",1,수리데이터사이언스학과
GEN2052,미분적분학1,"함수 극한 미분 적분의 기초를 학습하며 데이터 과학과 공학 수학의 기본 토대를 제공하는 과목이다.",3,수리데이터사이언스학과
MAT1002,확률및통계개론,"확률과 통계의 기초 개념을 학습하며 데이터 분석가와 퀀트 진로에 필요한 통계적 사고를 기르는 과목이다.",3,수리데이터사이언스학과
MAT2003,선형대수,"벡터 행렬 선형 변환을 학습하며 데이터 분석 머신러닝 퀀트 모델 이해에 필요한 수학적 기초를 제공하는 과목이다.",3,수리데이터사이언스학과 / ICT융합학부 데이터인텔리전스전공
MAT2009,미분방정식,"미분방정식의 해석과 모델링 방법을 학습하며 수리 모델링과 데이터 기반 예측의 기초를 제공하는 과목이다.",3,수리데이터사이언스학과
MAT2027,데이터처리,"데이터 정제 전처리 기초 분석 절차를 학습하며 데이터 분석과 모델링을 위한 실무 기반을 다지는 과목이다.",3,수리데이터사이언스학과
MAT4096,인공지능기초,"인공지능의 기본 개념과 활용 방법을 학습하며 AI 및 데이터사이언스 분야 진입을 위한 기초 역량을 기르는 과목이다.",3,수리데이터사이언스학과
VCC1001,IC-PBL과비전설계,"프로젝트 기반 학습으로 대학 생활과 전공 비전을 설계하며 진로 목표를 탐색하는 과목이다.",1,수리데이터사이언스학과
MAT3012,수리통계학,"통계적 추론과 확률 모형을 수학적으로 학습하며 데이터 분석가와 퀀트 직무에 필요한 통계 기반을 다지는 과목이다.",3,수리데이터사이언스학과
INE4048,인간-컴퓨터시스템설계,"인간과 컴퓨터가 상호작용하는 시스템을 설계하는 방법을 학습하며 HCI UX 디자인 사용자 중심 설계 진로와 연결되는 과목이다.",3,ICT융합학부
MCT3003,웰니스디자인,"건강과 삶의 질을 높이는 서비스와 경험을 디자인하며 UX 디자인 서비스 디자인 사용자 리서치 역량과 관련되는 과목이다.",3,ICT융합학부 컬쳐테크놀로지전공
MCT3006,무대공간분석과디자인,"공간과 사용자 경험을 분석하고 디자인하며 문화 콘텐츠 공간 경험 설계 UX 디자인 진로와 연결되는 과목이다.",3,ICT융합학부 컬쳐테크놀로지전공
CSE3026,웹애플리케이션개발,"웹 서비스와 애플리케이션 개발 방법을 학습하며 소프트웨어 개발자와 백엔드 개발자 진로에 필요한 구현 역량을 기르는 과목이다.",3,ICT융합학부
MMT3021,ICT창업캡스톤디자인2,"ICT 기반 창업 아이디어를 프로젝트로 구현하며 융합 서비스 기획과 개발 협업 경험을 쌓는 캡스톤 과목이다.",3,ICT융합학부
MMT4009,ICT융합캡스톤디자인1,"ICT 융합 프로젝트를 기획하고 구현하며 기술 디자인 데이터 분석을 결합한 문제 해결 역량을 기르는 캡스톤 과목이다.",3,ICT융합학부
CSE2022,피지컬컴퓨팅,"센서와 물리적 장치를 활용한 컴퓨팅 환경을 다루며 인터랙션 시스템 IoT 기반 서비스 개발과 연결되는 과목이다.",3,ICT융합학부
MMT4014,HCI연구실심화실습3,"HCI 연구와 실습을 통해 사용자 경험 사용성 평가 인간-컴퓨터 상호작용을 심화 학습하는 과목이다.",1,ICT융합학부
MMT3001,디지털미디어콘텐츠기획,"디지털 미디어 콘텐츠의 기획 과정과 사용자 경험을 학습하며 미디어 서비스 UX 콘텐츠 기획 진로와 연결되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3007,기계학습,"데이터 기반 예측 모델과 기계학습 알고리즘을 학습하며 AI 연구자와 데이터 분석가에게 필요한 모델링 역량을 기르는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3010,미디어인포그래픽스,"정보를 시각적으로 구조화하고 전달하는 방법을 학습하며 데이터 시각화 UX 디자인 미디어 콘텐츠 제작 역량과 관련되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3018,소셜미디어분석,"소셜미디어 데이터를 분석하여 사용자 행동과 콘텐츠 반응을 이해하며 데이터 분석가와 UX 리서치 진로에 도움이 되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT4013,리빙랩이론과실제,"사용자와 현장 중심의 문제 해결 과정을 학습하며 서비스 디자인 UX 리서치 프로젝트 기반 기획 역량을 기르는 과목이다.",3,ICT융합학부
MDT2001,디자인소프트웨어실습,"디자인 작업에 필요한 소프트웨어 활용 능력을 실습하며 UX 디자이너와 디지털 디자인 진로에 필요한 도구 활용 역량을 기르는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT3005,융합기술과이노베이션디자인,"기술과 디자인을 결합해 새로운 제품과 서비스를 기획하며 UX 디자인 서비스 디자인 프로덕트 기획 진로와 연결되는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT4001,디자인마케팅과컨설팅,"디자인 결과물을 시장과 사용자 관점에서 분석하고 컨설팅하는 방법을 학습하며 UX 리서치와 서비스 기획 역량에 도움이 되는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT4007,스마트실감형어플리케이션개발,"스마트 기기와 실감형 기술을 활용한 애플리케이션 개발을 학습하며 인터랙션 디자인과 소프트웨어 개발 역량을 함께 기르는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
INE3093,공학과심리,"공학 시스템을 사용하는 인간의 심리와 행동을 이해하며 UX 리서치와 인간-컴퓨터 상호작용 설계에 도움이 되는 과목이다.",3,ICT융합학부
MMT1002,ICT융합을위한인공지능,"ICT 융합 분야에서 인공지능의 기본 개념과 활용을 학습하며 AI 서비스와 데이터 기반 의사결정 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MMT4020,통계적데이터분석,"통계 기반 데이터 분석 방법을 학습하며 데이터 분석가와 AI 관련 직무에 필요한 데이터 해석 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MCT2005,뮤직테크놀로지,"음악과 디지털 기술을 결합한 콘텐츠 제작과 분석을 학습하며 미디어테크놀로지와 창의적 기술 활용 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MDT2009,디자인공학드로잉&2D실습1,"디자인 공학의 기초 드로잉과 2D 표현을 실습하며 UX 디자인과 제품 서비스 시각화 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MDT4013,게임프로그래밍프로젝트1,"게임 프로그래밍 프로젝트를 통해 인터랙티브 콘텐츠와 소프트웨어 구현 경험을 쌓는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MMT2010,자바프로그래밍입문,"Java 프로그래밍의 기초를 학습하며 소프트웨어 개발과 백엔드 개발에 필요한 기본 구현 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
CSE2018,시스템프로그래밍기초,"컴퓨터 시스템과 프로그래밍의 기초를 학습하며 소프트웨어 개발자와 데이터 시스템 개발에 필요한 기반 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MMT2003,융복합미디어개론,"미디어와 ICT 융합의 기본 개념을 학습하며 디지털 콘텐츠 서비스 기획과 미디어테크놀로지 이해에 도움이 되는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
